Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Clayton Kershaw (10629981),Clayton Kershaw,10629981,P,14400,LAD@ARI 05/02/2018 09:40PM ET,LAD,17.62
SP,Max Scherzer (10629982),Max Scherzer,10629982,P,13400,PIT@WAS 05/02/2018 07:05PM ET,WAS,31.37
SP,Gerrit Cole (10629983),Gerrit Cole,10629983,P,12500,NYY@HOU 05/02/2018 08:10PM ET,HOU,31.12
SP,Justin Verlander (10629984),Justin Verlander,10629984,P,12300,NYY@HOU 05/02/2018 08:10PM ET,HOU,30.61
SP,Patrick Corbin (10629985),Patrick Corbin,10629985,P,11500,LAD@ARI 05/02/2018 09:40PM ET,ARI,30.3
SP,Jacob deGrom (10629517),Jacob deGrom,10629517,P,11500,ATL@NYM 05/02/2018 07:10PM ET,NYM,25.55
SP,Robbie Ray (10629986),Robbie Ray,10629986,P,11300,LAD@ARI 05/02/2018 09:40PM ET,ARI,17.41
SP,Lance McCullers Jr. (10629987),Lance McCullers Jr.,10629987,P,11200,NYY@HOU 05/02/2018 08:10PM ET,HOU,21.12
SP,Jake Arrieta (10629988),Jake Arrieta,10629988,P,10900,PHI@MIA 05/02/2018 07:10PM ET,PHI,14.79
SP,Stephen Strasburg (10629518),Stephen Strasburg,10629518,P,10800,PIT@WAS 05/02/2018 07:05PM ET,WAS,20.91
SP,Noah Syndergaard (10629989),Noah Syndergaard,10629989,P,10800,ATL@NYM 05/02/2018 07:10PM ET,NYM,20.1
SP,Charlie Morton (10629990),Charlie Morton,10629990,P,10500,NYY@HOU 05/02/2018 08:10PM ET,HOU,25.28
SP,Zack Greinke (10629991),Zack Greinke,10629991,P,10200,LAD@ARI 05/02/2018 09:40PM ET,ARI,19.4
SP,Aaron Nola (10629519),Aaron Nola,10629519,P,9900,PHI@MIA 05/02/2018 07:10PM ET,PHI,18.24
SP,Alex Wood (10629992),Alex Wood,10629992,P,9800,LAD@ARI 05/02/2018 09:40PM ET,LAD,14.69
SP,Kenta Maeda (10629993),Kenta Maeda,10629993,P,9500,LAD@ARI 05/02/2018 09:40PM ET,LAD,14.88
SP,Luis Severino (10629520),Luis Severino,10629520,P,9200,NYY@HOU 05/02/2018 08:10PM ET,NYY,23.75
SP,Rich Hill (10629994),Rich Hill,10629994,P,9100,LAD@ARI 05/02/2018 09:40PM ET,LAD,11.78
SP,Hyun-Jin Ryu (10629521),Hyun-Jin Ryu,10629521,P,8900,LAD@ARI 05/02/2018 09:40PM ET,LAD,19.12
SP,Masahiro Tanaka (10629995),Masahiro Tanaka,10629995,P,8900,NYY@HOU 05/02/2018 08:10PM ET,NYY,18.66
SP,Gio Gonzalez (10629996),Gio Gonzalez,10629996,P,8700,PIT@WAS 05/02/2018 07:05PM ET,WAS,18.82
SP,Jimmy Nelson (10629997),Jimmy Nelson,10629997,P,8700,MIL@CIN 05/02/2018 07:10PM ET,MIL,0
SP,Jordan Montgomery (10629998),Jordan Montgomery,10629998,P,8500,NYY@HOU 05/02/2018 08:10PM ET,NYY,11.88
SP,Sean Manaea (10629999),Sean Manaea,10629999,P,8400,OAK@SEA 05/02/2018 10:10PM ET,OAK,28.58
SP,Jameson Taillon (10630001),Jameson Taillon,10630001,P,8100,PIT@WAS 05/02/2018 07:05PM ET,PIT,13.94
SP,CC Sabathia (10630000),CC Sabathia,10630000,P,8100,NYY@HOU 05/02/2018 08:10PM ET,NYY,14.61
RP,Tyler Glasnow (10630002),Tyler Glasnow,10630002,P,8000,PIT@WAS 05/02/2018 07:05PM ET,PIT,4.74
SP,James Paxton (10629522),James Paxton,10629522,P,8000,OAK@SEA 05/02/2018 10:10PM ET,SEA,16.61
SP,Mike Foltynewicz (10630003),Mike Foltynewicz,10630003,P,7900,ATL@NYM 05/02/2018 07:10PM ET,ATL,19.33
SP,Zack Wheeler (10630004),Zack Wheeler,10630004,P,7900,ATL@NYM 05/02/2018 07:10PM ET,NYM,15.38
SP,Andrew Triggs (10630005),Andrew Triggs,10630005,P,7800,OAK@SEA 05/02/2018 10:10PM ET,OAK,11.08
SP,Dylan Bundy (10629523),Dylan Bundy,10629523,P,7800,BAL@LAA 05/02/2018 10:07PM ET,BAL,20.06
SP,Tanner Roark (10630006),Tanner Roark,10630006,P,7700,PIT@WAS 05/02/2018 07:05PM ET,WAS,17.15
SP,Zack Godley (10629524),Zack Godley,10629524,P,7600,LAD@ARI 05/02/2018 09:40PM ET,ARI,17.55
SP,Sean Newcomb (10630007),Sean Newcomb,10630007,P,7600,ATL@NYM 05/02/2018 07:10PM ET,ATL,16.73
SP,Vince Velasquez (10630008),Vince Velasquez,10630008,P,7600,PHI@MIA 05/02/2018 07:10PM ET,PHI,12.52
SP,Ivan Nova (10629525),Ivan Nova,10629525,P,7300,PIT@WAS 05/02/2018 07:05PM ET,PIT,16.82
SP,Walker Buehler (10630011),Walker Buehler,10630011,P,7100,LAD@ARI 05/02/2018 09:40PM ET,LAD,18.05
SP,Chad Kuhl (10630010),Chad Kuhl,10630010,P,7100,PIT@WAS 05/02/2018 07:05PM ET,PIT,10.68
SP,Nick Pivetta (10630009),Nick Pivetta,10630009,P,7100,PHI@MIA 05/02/2018 07:10PM ET,PHI,16.48
SP,Zach Davies (10630014),Zach Davies,10630014,P,7000,MIL@CIN 05/02/2018 07:10PM ET,MIL,12.48
SP,Dallas Keuchel (10629526),Dallas Keuchel,10629526,P,7000,NYY@HOU 05/02/2018 08:10PM ET,HOU,13.88
SP,Collin McHugh (10630013),Collin McHugh,10630013,P,7000,NYY@HOU 05/02/2018 08:10PM ET,HOU,6.4
SP,Garrett Richards (10630012),Garrett Richards,10630012,P,7000,BAL@LAA 05/02/2018 10:07PM ET,LAA,15.41
SP,Brandon Woodruff (10630017),Brandon Woodruff,10630017,P,6900,MIL@CIN 05/02/2018 07:10PM ET,MIL,5.84
SP,Brent Suter (10630018),Brent Suter,10630018,P,6900,MIL@CIN 05/02/2018 07:10PM ET,MIL,7.69
SP,Sonny Gray (10630016),Sonny Gray,10630016,P,6900,NYY@HOU 05/02/2018 08:10PM ET,NYY,6.49
SP,Alex Cobb (10630015),Alex Cobb,10630015,P,6900,BAL@LAA 05/02/2018 10:07PM ET,BAL,-3.01
SP,Kevin Gausman (10630019),Kevin Gausman,10630019,P,6800,BAL@LAA 05/02/2018 10:07PM ET,BAL,14.3
SP,Taijuan Walker (10630020),Taijuan Walker,10630020,P,6700,LAD@ARI 05/02/2018 09:40PM ET,ARI,8.42
SP,Trevor Williams (10630026),Trevor Williams,10630026,P,6600,PIT@WAS 05/02/2018 07:05PM ET,PIT,16.58
SP,Junior Guerra (10630024),Junior Guerra,10630024,P,6600,MIL@CIN 05/02/2018 07:10PM ET,MIL,20.28
SP,Chase Anderson (10630025),Chase Anderson,10630025,P,6600,MIL@CIN 05/02/2018 07:10PM ET,MIL,13.8
SP,Felix Hernandez (10630021),Felix Hernandez,10630021,P,6600,OAK@SEA 05/02/2018 10:10PM ET,SEA,13.69
SP,Matt Shoemaker (10630022),Matt Shoemaker,10630022,P,6600,BAL@LAA 05/02/2018 10:07PM ET,LAA,13.95
SP,Steven Matz (10630023),Steven Matz,10630023,P,6600,ATL@NYM 05/02/2018 07:10PM ET,NYM,12.55
SP,Alex Meyer (10630027),Alex Meyer,10630027,P,6500,BAL@LAA 05/02/2018 10:07PM ET,LAA,0
SP,Julio Teheran (10629527),Julio Teheran,10629527,P,6500,ATL@NYM 05/02/2018 07:10PM ET,ATL,12.28
SP,Tyler Mahle (10630028),Tyler Mahle,10630028,P,6400,MIL@CIN 05/02/2018 07:10PM ET,CIN,14.29
SP,Mike Leake (10630029),Mike Leake,10630029,P,6400,OAK@SEA 05/02/2018 10:10PM ET,SEA,8.63
SP,Trevor Cahill (10630030),Trevor Cahill,10630030,P,6400,OAK@SEA 05/02/2018 10:10PM ET,OAK,19.9
SP,Tyler Skaggs (10630032),Tyler Skaggs,10630032,P,6300,BAL@LAA 05/02/2018 10:07PM ET,LAA,17.35
SP,Dan Straily (10630031),Dan Straily,10630031,P,6300,PHI@MIA 05/02/2018 07:10PM ET,MIA,-3
RP,Wilmer Font (10630033),Wilmer Font,10630033,P,6200,OAK@SEA 05/02/2018 10:10PM ET,OAK,0.36
SP,Jharel Cotton (10630034),Jharel Cotton,10630034,P,6200,OAK@SEA 05/02/2018 10:10PM ET,OAK,0
SP,Daniel Mengden (10630037),Daniel Mengden,10630037,P,6200,OAK@SEA 05/02/2018 10:10PM ET,OAK,11.82
SP,Jason Vargas (10630036),Jason Vargas,10630036,P,6200,ATL@NYM 05/02/2018 07:10PM ET,NYM,-6.95
SP,Jerad Eickhoff (10630035),Jerad Eickhoff,10630035,P,6200,PHI@MIA 05/02/2018 07:10PM ET,PHI,0
SP,Joe Ross (10630038),Joe Ross,10630038,P,6100,PIT@WAS 05/02/2018 07:05PM ET,WAS,0
SP,Anthony DeSclafani (10630040),Anthony DeSclafani,10630040,P,6100,MIL@CIN 05/02/2018 07:10PM ET,CIN,0
SP,Andrew Cashner (10630039),Andrew Cashner,10630039,P,6100,BAL@LAA 05/02/2018 10:07PM ET,BAL,12.98
SP,Andrew Heaney (10629528),Andrew Heaney,10629528,P,6000,BAL@LAA 05/02/2018 10:07PM ET,LAA,13.68
SP,Shelby Miller (10630042),Shelby Miller,10630042,P,5900,LAD@ARI 05/02/2018 09:40PM ET,ARI,0
SP,Erick Fedde (10630044),Erick Fedde,10630044,P,5900,PIT@WAS 05/02/2018 07:05PM ET,WAS,0
SP,Rogelio Armenteros (10630041),Rogelio Armenteros,10630041,P,5900,NYY@HOU 05/02/2018 08:10PM ET,HOU,0
SP,Hisashi Iwakuma (10630043),Hisashi Iwakuma,10630043,P,5900,OAK@SEA 05/02/2018 10:10PM ET,SEA,0
RP,Brad Peacock (10630045),Brad Peacock,10630045,P,5800,NYY@HOU 05/02/2018 08:10PM ET,HOU,4.48
SP,Luiz Gohara (10630046),Luiz Gohara,10630046,P,5700,ATL@NYM 05/02/2018 07:10PM ET,ATL,0
SP,Scott Kazmir (10630047),Scott Kazmir,10630047,P,5700,ATL@NYM 05/02/2018 07:10PM ET,ATL,0
SP,Amir Garrett (10630051),Amir Garrett,10630051,P,5600,MIL@CIN 05/02/2018 07:10PM ET,CIN,4.1
SP,A.J. Cole (10630050),A.J. Cole,10630050,P,5600,NYY@HOU 05/02/2018 08:10PM ET,NYY,1.51
SP,Ariel Miranda (10630049),Ariel Miranda,10630049,P,5600,OAK@SEA 05/02/2018 10:10PM ET,SEA,13.25
OF,Mike Trout (10629533),Mike Trout,10629533,OF,5600,BAL@LAA 05/02/2018 10:07PM ET,LAA,11.14
SP,Wei-Yin Chen (10630048),Wei-Yin Chen,10630048,P,5600,PHI@MIA 05/02/2018 07:10PM ET,MIA,15.8
SP,Homer Bailey (10630052),Homer Bailey,10630052,P,5500,MIL@CIN 05/02/2018 07:10PM ET,CIN,8.64
SP,Brandon Finnegan (10630054),Brandon Finnegan,10630054,P,5400,MIL@CIN 05/02/2018 07:10PM ET,CIN,3.5
SP,Chris Flexen (10630053),Chris Flexen,10630053,P,5400,ATL@NYM 05/02/2018 07:10PM ET,NYM,0
SP,Luis Castillo (10629529),Luis Castillo,10629529,P,5300,MIL@CIN 05/02/2018 07:10PM ET,CIN,6.28
OF,Aaron Judge (10629536),Aaron Judge,10629536,OF,5300,NYY@HOU 05/02/2018 08:10PM ET,NYY,10.62
SP,Brandon McCarthy (10630055),Brandon McCarthy,10630055,P,5300,ATL@NYM 05/02/2018 07:10PM ET,ATL,15.03
RP,Merandy Gonzalez (10630056),Merandy Gonzalez,10630056,P,5300,PHI@MIA 05/02/2018 07:10PM ET,MIA,4.05
RP,David Paulino (10630058),David Paulino,10630058,P,5200,NYY@HOU 05/02/2018 08:10PM ET,HOU,0
SP,Marco Gonzales (10630057),Marco Gonzales,10630057,P,5200,OAK@SEA 05/02/2018 10:10PM ET,SEA,13.65
SP,Marcos Molina (10630059),Marcos Molina,10630059,P,5200,ATL@NYM 05/02/2018 07:10PM ET,NYM,0
OF,Rhys Hoskins (10629535),Rhys Hoskins,10629535,OF,5200,PHI@MIA 05/02/2018 07:10PM ET,PHI,9.34
OF,Bryce Harper (10629534),Bryce Harper,10629534,OF,5100,PIT@WAS 05/02/2018 07:05PM ET,WAS,10.7
SP,Sal Romano (10630062),Sal Romano,10630062,P,5100,MIL@CIN 05/02/2018 07:10PM ET,CIN,8.12
SP,Jhoulys Chacin (10630063),Jhoulys Chacin,10630063,P,5100,MIL@CIN 05/02/2018 07:10PM ET,MIL,8.02
SP,Rookie Davis (10630067),Rookie Davis,10630067,P,5100,MIL@CIN 05/02/2018 07:10PM ET,CIN,0
SP,Justin Nicolino (10630068),Justin Nicolino,10630068,P,5100,MIL@CIN 05/02/2018 07:10PM ET,CIN,0
SP,Chance Adams (10630060),Chance Adams,10630060,P,5100,NYY@HOU 05/02/2018 08:10PM ET,NYY,0
RP,Rob Whalen (10630064),Rob Whalen,10630064,P,5100,OAK@SEA 05/02/2018 10:10PM ET,SEA,0
SP,Andrew Albers (10630066),Andrew Albers,10630066,P,5100,OAK@SEA 05/02/2018 10:10PM ET,SEA,0
SP,Chase De Jong (10630069),Chase De Jong,10630069,P,5100,OAK@SEA 05/02/2018 10:10PM ET,SEA,0
SP,Anibal Sanchez (10630061),Anibal Sanchez,10630061,P,5100,ATL@NYM 05/02/2018 07:10PM ET,ATL,16.23
SP,Aaron Blair (10630065),Aaron Blair,10630065,P,5100,ATL@NYM 05/02/2018 07:10PM ET,ATL,0
RP,Grant Dayton (10630070),Grant Dayton,10630070,P,5100,ATL@NYM 05/02/2018 07:10PM ET,ATL,0
OF,A.J. Pollock (10629537),A.J. Pollock,10629537,OF,5000,LAD@ARI 05/02/2018 09:40PM ET,ARI,12.07
RP,Aaron Wilkerson (10630072),Aaron Wilkerson,10630072,P,5000,MIL@CIN 05/02/2018 07:10PM ET,MIL,0
RP,Nick Tropeano (10630071),Nick Tropeano,10630071,P,5000,BAL@LAA 05/02/2018 10:07PM ET,LAA,15.61
RP,JC Ramirez (10630073),JC Ramirez,10630073,P,5000,BAL@LAA 05/02/2018 10:07PM ET,LAA,0.3
SP,Dillon Peters (10630074),Dillon Peters,10630074,P,5000,PHI@MIA 05/02/2018 07:10PM ET,MIA,7.9
SP,Julio Urias (10630078),Julio Urias,10630078,P,4900,LAD@ARI 05/02/2018 09:40PM ET,LAD,0
SP,Mitch Keller (10630076),Mitch Keller,10630076,P,4900,PIT@WAS 05/02/2018 07:05PM ET,PIT,0
SP,Luis Escobar (10630077),Luis Escobar,10630077,P,4900,PIT@WAS 05/02/2018 07:05PM ET,PIT,0
SP,Wade Miley (10629530),Wade Miley,10629530,P,4900,MIL@CIN 05/02/2018 07:10PM ET,MIL,0
SS,Didi Gregorius (10629541),Didi Gregorius,10629541,SS,4900,NYY@HOU 05/02/2018 08:10PM ET,NYY,12.17
RP,Luis Cessa (10630080),Luis Cessa,10630080,P,4900,NYY@HOU 05/02/2018 08:10PM ET,NYY,4.2
OF,Mitch Haniger (10629542),Mitch Haniger,10629542,OF,4900,OAK@SEA 05/02/2018 10:10PM ET,SEA,10.71
SP,A.J. Puk (10630075),A.J. Puk,10630075,P,4900,OAK@SEA 05/02/2018 10:10PM ET,OAK,0
SS,Manny Machado (10629539),Manny Machado,10629539,SS,4900,BAL@LAA 05/02/2018 10:07PM ET,BAL,11.17
SP,Matt Harvey (10630079),Matt Harvey,10630079,P,4900,ATL@NYM 05/02/2018 07:10PM ET,NYM,5.72
SP,Rubby De La Rosa (10630081),Rubby De La Rosa,10630081,P,4800,LAD@ARI 05/02/2018 09:40PM ET,ARI,0
SP,Cody Reed (10630083),Cody Reed,10630083,P,4800,MIL@CIN 05/02/2018 07:10PM ET,CIN,3.91
2B,Jose Altuve (10629538),Jose Altuve,10629538,2B,4800,NYY@HOU 05/02/2018 08:10PM ET,HOU,7.84
OF,Giancarlo Stanton (10629544),Giancarlo Stanton,10629544,OF,4800,NYY@HOU 05/02/2018 08:10PM ET,NYY,7.97
RP,Seth Lugo (10630082),Seth Lugo,10630082,P,4800,ATL@NYM 05/02/2018 07:10PM ET,NYM,4.44
1B,Eric Thames (10629545),Eric Thames,10629545,1B,4700,MIL@CIN 05/02/2018 07:10PM ET,MIL,8.23
1B/OF,Ryan Braun (10629549),Ryan Braun,10629549,1B/OF,4700,MIL@CIN 05/02/2018 07:10PM ET,MIL,7.64
SS,Carlos Correa (10629540),Carlos Correa,10629540,SS,4700,NYY@HOU 05/02/2018 08:10PM ET,HOU,9.07
SP,Forrest Whitley (10630084),Forrest Whitley,10630084,P,4700,NYY@HOU 05/02/2018 08:10PM ET,HOU,0
SP,Taylor Clarke (10630086),Taylor Clarke,10630086,P,4600,LAD@ARI 05/02/2018 09:40PM ET,ARI,0
SP,Tom Koehler (10630087),Tom Koehler,10630087,P,4600,LAD@ARI 05/02/2018 09:40PM ET,LAD,0
SP,Yadier Alvarez (10630088),Yadier Alvarez,10630088,P,4600,LAD@ARI 05/02/2018 09:40PM ET,LAD,0
SP,Jeremy Hellickson (10630089),Jeremy Hellickson,10630089,P,4600,PIT@WAS 05/02/2018 07:05PM ET,WAS,9.03
1B,Joey Votto (10629546),Joey Votto,10629546,1B,4600,MIL@CIN 05/02/2018 07:10PM ET,CIN,7.59
OF,George Springer (10629543),George Springer,10629543,OF,4600,NYY@HOU 05/02/2018 08:10PM ET,HOU,8.81
C,Gary Sanchez (10629547),Gary Sanchez,10629547,C,4600,NYY@HOU 05/02/2018 08:10PM ET,NYY,9.62
SP,Justus Sheffield (10630085),Justus Sheffield,10630085,P,4600,NYY@HOU 05/02/2018 08:10PM ET,NYY,0
SP,Kendall Graveman (10630090),Kendall Graveman,10630090,P,4600,OAK@SEA 05/02/2018 10:10PM ET,OAK,3.66
SP,Matt Wisler (10630091),Matt Wisler,10630091,P,4600,ATL@NYM 05/02/2018 07:10PM ET,ATL,14.3
1B,Paul Goldschmidt (10629552),Paul Goldschmidt,10629552,1B,4500,LAD@ARI 05/02/2018 09:40PM ET,ARI,8.52
SP,Brock Stewart (10630097),Brock Stewart,10630097,P,4500,LAD@ARI 05/02/2018 09:40PM ET,LAD,5.35
OF,Lorenzo Cain (10629553),Lorenzo Cain,10629553,OF,4500,MIL@CIN 05/02/2018 07:10PM ET,MIL,9.14
3B,Eugenio Suarez (10629554),Eugenio Suarez,10629554,3B,4500,MIL@CIN 05/02/2018 07:10PM ET,CIN,10.79
RP,Alec Asher (10630098),Alec Asher,10630098,P,4500,MIL@CIN 05/02/2018 07:10PM ET,MIL,0
SP,Grant Holmes (10630093),Grant Holmes,10630093,P,4500,OAK@SEA 05/02/2018 10:10PM ET,OAK,0
RP,Erasmo Ramirez (10630099),Erasmo Ramirez,10630099,P,4500,OAK@SEA 05/02/2018 10:10PM ET,SEA,1.08
OF,Shohei Ohtani (10629551),Shohei Ohtani,10629551,OF,4500,BAL@LAA 05/02/2018 10:07PM ET,LAA,4.23
SP,John Lamb (10630094),John Lamb,10630094,P,4500,BAL@LAA 05/02/2018 10:07PM ET,LAA,0
RP,Rafael Montero (10630095),Rafael Montero,10630095,P,4500,ATL@NYM 05/02/2018 07:10PM ET,NYM,0
SP,A.J. Griffin (10630096),A.J. Griffin,10630096,P,4500,ATL@NYM 05/02/2018 07:10PM ET,NYM,0
SP,Caleb Smith (10630092),Caleb Smith,10630092,P,4500,PHI@MIA 05/02/2018 07:10PM ET,MIA,16.82
SS,Trea Turner (10629555),Trea Turner,10629555,SS,4400,PIT@WAS 05/02/2018 07:05PM ET,WAS,9.2
SP,Nick Kingham (10630100),Nick Kingham,10630100,P,4400,PIT@WAS 05/02/2018 07:05PM ET,PIT,37.15
OF,Scott Schebler (10629556),Scott Schebler,10629556,OF,4400,MIL@CIN 05/02/2018 07:10PM ET,CIN,9
SS,Jean Segura (10629557),Jean Segura,10629557,SS,4400,OAK@SEA 05/02/2018 10:10PM ET,SEA,9.5
OF,Nelson Cruz (10629558),Nelson Cruz,10629558,OF,4400,OAK@SEA 05/02/2018 10:10PM ET,SEA,8.68
SP,Chris Tillman (10630103),Chris Tillman,10630103,P,4400,BAL@LAA 05/02/2018 10:07PM ET,BAL,3.83
1B,Freddie Freeman (10629548),Freddie Freeman,10629548,1B,4400,ATL@NYM 05/02/2018 07:10PM ET,ATL,10.61
RP,Robert Gsellman (10630101),Robert Gsellman,10630101,P,4400,ATL@NYM 05/02/2018 07:10PM ET,NYM,5.10
SP,Adam Conley (10630102),Adam Conley,10630102,P,4400,PHI@MIA 05/02/2018 07:10PM ET,MIA,0
SP,Braden Shipley (10630107),Braden Shipley,10630107,P,4300,LAD@ARI 05/02/2018 09:40PM ET,ARI,0
OF,Christian Yelich (10629560),Christian Yelich,10629560,OF,4300,MIL@CIN 05/02/2018 07:10PM ET,MIL,8.10
SP,Corbin Burnes (10630104),Corbin Burnes,10630104,P,4300,MIL@CIN 05/02/2018 07:10PM ET,MIL,0
SP,Daniel Gossett (10630105),Daniel Gossett,10630105,P,4300,OAK@SEA 05/02/2018 10:10PM ET,OAK,-2.25
SP,Jeff Locke (10630106),Jeff Locke,10630106,P,4300,PHI@MIA 05/02/2018 07:10PM ET,MIA,0
1B,Cody Bellinger (10629561),Cody Bellinger,10629561,1B,4200,LAD@ARI 05/02/2018 09:40PM ET,LAD,8.10
RP,Steven Brault (10630108),Steven Brault,10630108,P,4200,PIT@WAS 05/02/2018 07:05PM ET,PIT,7.52
SP,Joe Musgrove (10630110),Joe Musgrove,10630110,P,4200,PIT@WAS 05/02/2018 07:05PM ET,PIT,0
SP,Austin Voth (10630112),Austin Voth,10630112,P,4200,PIT@WAS 05/02/2018 07:05PM ET,WAS,0
3B,Travis Shaw (10629562),Travis Shaw,10629562,3B,4200,MIL@CIN 05/02/2018 07:10PM ET,MIL,7.97
RP,Brady Rodgers (10630111),Brady Rodgers,10630111,P,4200,NYY@HOU 05/02/2018 08:10PM ET,HOU,0
SP,Brett Anderson (10629531),Brett Anderson,10629531,P,4200,OAK@SEA 05/02/2018 10:10PM ET,OAK,0
OF,Dee Gordon (10629563),Dee Gordon,10629563,OF,4200,OAK@SEA 05/02/2018 10:10PM ET,SEA,9.39
2B,Ozzie Albies (10629559),Ozzie Albies,10629559,2B,4200,ATL@NYM 05/02/2018 07:10PM ET,ATL,11.79
SP,Clay Buchholz (10630109),Clay Buchholz,10630109,P,4200,PHI@MIA 05/02/2018 07:10PM ET,PHI,0
3B,Jake Lamb (10629565),Jake Lamb,10629565,3B,4100,LAD@ARI 05/02/2018 09:40PM ET,ARI,8.75
1B,Tyler Austin (10629564),Tyler Austin,10629564,1B,4100,NYY@HOU 05/02/2018 08:10PM ET,NYY,9.78
2B,Jed Lowrie (10629568),Jed Lowrie,10629568,2B,4100,OAK@SEA 05/02/2018 10:10PM ET,OAK,10.21
SP,Jose Urena (10629532),Jose Urena,10629532,P,4100,PHI@MIA 05/02/2018 07:10PM ET,MIA,10.34
C,J.T. Realmuto (10629567),J.T. Realmuto,10629567,C,4100,PHI@MIA 05/02/2018 07:10PM ET,MIA,10.58
OF,Odubel Herrera (10629569),Odubel Herrera,10629569,OF,4100,PHI@MIA 05/02/2018 07:10PM ET,PHI,8
OF,Joc Pederson (10629570),Joc Pederson,10629570,OF,4000,LAD@ARI 05/02/2018 09:40PM ET,LAD,5.81
OF,David Peralta (10629571),David Peralta,10629571,OF,4000,LAD@ARI 05/02/2018 09:40PM ET,ARI,9.32
3B,Justin Turner (10629576),Justin Turner,10629576,3B,4000,LAD@ARI 05/02/2018 09:40PM ET,LAD,0
RP,Jesen Therrien (10630125),Jesen Therrien,10630125,P,4000,LAD@ARI 05/02/2018 09:40PM ET,LAD,0
RP,Adam Liberatore (10630126),Adam Liberatore,10630126,P,4000,LAD@ARI 05/02/2018 09:40PM ET,LAD,2.24
RP,JT Chargois (10630127),JT Chargois,10630127,P,4000,LAD@ARI 05/02/2018 09:40PM ET,LAD,3.52
RP,Tony Cingrani (10630128),Tony Cingrani,10630128,P,4000,LAD@ARI 05/02/2018 09:40PM ET,LAD,2.66
RP,Ross Stripling (10630129),Ross Stripling,10630129,P,4000,LAD@ARI 05/02/2018 09:40PM ET,LAD,4.64
RP,Daniel Hudson (10630130),Daniel Hudson,10630130,P,4000,LAD@ARI 05/02/2018 09:40PM ET,LAD,-0.29
RP,Pedro Baez (10630131),Pedro Baez,10630131,P,4000,LAD@ARI 05/02/2018 09:40PM ET,LAD,2.8
RP,Josh Fields (10630132),Josh Fields,10630132,P,4000,LAD@ARI 05/02/2018 09:40PM ET,LAD,3.73
